WholesellerId,TasteQuality,price,Ratings,Quantity,City,Latitude,Longitude,Address
1,2,120,3,60000,Trincomalee,8.56877,81.2326,"Ward No. 3, Nilaweli"
2,2,125,3,20000,Trincomalee,8.56877,81.2326,"Ward No 4, Irakkandy,Nilaveli"
3,3,135,3,25000,Trincomalee,8.56877,81.2326,"4th Word,Irakkakandy,Nilavely"
4,3,120,2,32000,Trincomalee,8.56877,81.2326,"New Bus Stand Rd,Muthur 01"
5,3,167,1,45000,Trincomalee,8.56877,81.2326,"Main Street, Muttur-01"
6,3,158,3,61000,Trincomalee,8.56877,81.2326,"Electricity Board Rd, Muttur-7"
7,3,145,2,8700,Trincomalee,8.56877,81.2326,"Barathipuram, Killivetty, Muttur"
8,1,178,2,9000,Trincomalee,8.56877,81.2326,"Thoppur 4, Trincomalee"
9,1,168,3,7500,Trincomalee,8.56877,81.2326,"Main Street, Kilivetty"
10,2,188,1,10000,Trincomalee,8.56877,81.2326,"Old Batticalo Rd, Mutur 01"
11,2,146,2,11000,Trincomalee,8.56877,81.2326,"Main Street, Padavi-Sripura"
12,1,135,3,5500,Trincomalee,8.56877,81.2326,"Near Hospital, Serunuwara"
13,2,178,3,8000,Trincomalee,8.56877,81.2326,"38/3, Sirimangala Pura, Somapura"
14,2,128,2,100000,Trincomalee,8.56877,81.2326,"595, Sirajnagar,
Thambalagamuwa"
15,3,148,2,4800,Trincomalee,8.56877,81.2326,"700, Meeranagar, Thambalagama"
16,1,158,2,5400,Trincomalee,8.56877,81.2326,"96, Junction, Mullipothana"
17,1,145,2,15000,Trincomalee,8.56877,81.2326,"708,Galmetiyawa, Thambalagama"
18,2,169,1,20000,Trincomalee,8.56877,81.2326,"96 Juntion, Mollipothana"
19,3,147,3,5000,Trincomalee,8.56877,81.2326,"Siraj Nagar, Thampalakamam"
20,2,123,3,22000,Trincomalee,8.56877,81.2326,"124/H, Batticaloa Rd, Chinankuda"
21,1,147,3,8600,Trincomalee,8.56877,81.2326,"297/1,Kanniya Rd, Trincomalee"
22,1,159,2,200000,Trincomalee,8.56877,81.2326,"8, Kandy Rd,Anuradhapura
Junction Trincomalee"
23,2,169,2,6500,Trincomalee,8.56877,81.2326,"1099,Kandy Rd,Trincomalee"
24,3,147,2,7000,Trincomalee,8.56877,81.2326,"259, Central Rd, Trincomalee"
25,3,123,1,6000,Trincomalee,8.56877,81.2326,"229, Egambaram  Rd, Trincomalee"
26,2,159,2,5000,Trincomalee,8.56877,81.2326,"111, School Rd, Trincomalee"
27,1,158,3,15000,Trincomalee,8.56877,81.2326,"103/B, Sea View Rd, Trincomalee"
28,2,125,3,22000,Trincomalee,8.56877,81.2326," 3rd Mile
Post, Trincomalee"
29,2,145,2,14000,Nuwara Eliya,6.9497,80.7891,"06,Gavaravila Janapadaya, Upcot"
30,1,158,3,250000,Nuwara Eliya,6.9497,80.7891,"9/1, Bus Stand, Hatton"
31,2,169,2,5000,Nuwara Eliya,6.9497,80.7891,"149, Kovil Street, Maskeliya"
32,3,187,3,6800,Nuwara Eliya,6.9497,80.7891,"82A 1/1, Side Street, Hatton"
33,1,189,3,11000,Nuwara Eliya,6.9497,80.7891,"102, 7th Street, Maskeliya"
34,3,147,1,6000,Nuwara Eliya,6.9497,80.7891,"171 1/2,Dimbulla Rd,DKW Complex,
Hatton"
35,2,156,2,9000,Nuwara Eliya,6.9497,80.7891,"No. 05, First Floor, Circular Road,
Hatton"
36,2,147,3,7000,Nuwara Eliya,6.9497,80.7891,"08, Gunawardana Building, Hatton"
37,1,156,2,5500,Nuwara Eliya,6.9497,80.7891,"27, Bridwell Bazzar, Bogawantalawa"
38,3,123,2,6500,Nuwara Eliya,6.9497,80.7891,"New building, 2 nd Floor, Colombo
Rd, Ginigathhena"
39,1,147,3,9000,Nuwara Eliya,6.9497,80.7891,"129, Main Street, Bagawantalawa"
40,3,125,3,5000,Nuwara Eliya,6.9497,80.7891,"37, Hatton Rd, Ginigathhena"
41,1,145,3,9500,Nuwara Eliya,6.9497,80.7891,"117/ 1/4, Main Street, Hatton"
42,1,178,2,7500,Nuwara Eliya,6.9497,80.7891,"Niwasa place, Lakshapana"
43,3,125,2,4500,Nuwara Eliya,6.9497,80.7891,Hatton Town
44,2,147,2,10000,Nuwara Eliya,6.9497,80.7891,"No. 15, Colombo Rd, Ginigathhena"
45,1,158,3,8000,Nuwara Eliya,6.9497,80.7891,"254, Main Street, Maskeliya"
46,3,145,2,35000,Nuwara Eliya,6.9497,80.7891,"No 252, Main Street, Maskrliya"
47,2,165,3,4000,Nuwara Eliya,6.9497,80.7891,Hanguranketha
48,1,148,3,6400,Nuwara Eliya,6.9497,80.7891,Rikillagaskada
49,3,159,1,350000,Nuwara Eliya,6.9497,80.7891,Mathurata
50,2,169,3,5000,Nuwara Eliya,6.9497,80.7891,"Ragala Rd, Rikillagaskada"
51,1,158,2,6000,Nuwara Eliya,6.9497,80.7891,"Raja Mw, Adhikarigama"
52,3,178,2,4000,Nuwara Eliya,6.9497,80.7891,"57, Pathiyapellella"
53,3,179,3,4200,Nuwara Eliya,6.9497,80.7891,"Kandy Rd, Rikillagaskada"
54,2,157,3,5800,Nuwara Eliya,6.9497,80.7891,"Kandy Rd, Hanguranketha"
55,2,155,3,6500,Nuwara Eliya,6.9497,80.7891,"Adikarigama, Welikada,
Gonagahathenna"
56,3,144,2,9000,Nuwara Eliya,6.9497,80.7891,"Kalapitiya, Hedunuwewa,Hattan"
57,1,167,2,10000,Nuwara Eliya,6.9497,80.7891,"Dewumi Creative Digital Lab, New
Town, Kothmale"
58,1,168,2,450000,Nuwara Eliya,6.9497,80.7891,"Thawalanthenna, Kotmale"
59,1,165,3,5000,Nuwara Eliya,6.9497,80.7891,"238,Talawakele Rd,Pundaluoya"
60,2,164,3,4000,Nuwara Eliya,6.9497,80.7891,"Upper Bazaar,Pundulu -oya"
61,3,124,3,6500,Nuwara Eliya,6.9497,80.7891,"Upper Street, Pudaluoya"
62,1,157,2,9500,Nuwara Eliya,6.9497,80.7891,"244/7, Kadadorapitiya Rd,
Pundaluoya"
63,2,178,2,65000,Nuwara Eliya,6.9497,80.7891,"15, Samadanapuram, Kotagala"
64,1,155,2,420000,Nuwara Eliya,6.9497,80.7891,"79, Queen Elisabeth Mw,
Nuwaraeliya"
65,3,122,3,5200,Nuwara Eliya,6.9497,80.7891,"36, Main Street, Nanu Oya"
66,1,144,2,6500,Nuwara Eliya,6.9497,80.7891,"102, Main Street, Agarapathana"
67,3,155,1,6000,Nuwara Eliya,6.9497,80.7891,"43, Daily Fair, Nuwara Eliya"
68,2,145,3,4500,Nuwara Eliya,6.9497,80.7891,"3, Udupussellawa Rd, Nuwara Eliya"
69,2,165,3,9000,Nuwara Eliya,6.9497,80.7891,"4, V.C Building, Kandapola,
Nuwaraeliya"
70,1,166,2,78000,Nuwara Eliya,6.9497,80.7891,"375, Main St,Kottagala"
71,2,145,2,4000,Nuwara Eliya,6.9497,80.7891,"101, Nuwara Eliya Road, Thalawakale"
72,2,178,3,25000,Nuwara Eliya,6.9497,80.7891,"32/1, 1st Floor, Park Street, Nuwara
Eliya"
73,1,144,3,5500,Nuwara Eliya,6.9497,80.7891,"156/A, Udupussellawa Road,
Hawaeliya, Nuwara Eliya"
74,1,154,2,10000,Nuwara Eliya,6.9497,80.7891,"38/1, 1st Floor, Hatton Rd,
Thalawakele"
75,1,166,2,110000,Nuwara Eliya,6.9497,80.7891,"No 160, Main Street, Kotagala"
76,2,155,2,6000,Nuwara Eliya,6.9497,80.7891,"6, Shopping Complex, Wanigasekara
Pura , Talawakelle"
77,3,177,3,4500,Nuwara Eliya,6.9497,80.7891,"P.Mattakelle Estate,Talawakelle"
78,3,188,2,7000,Nuwara Eliya,6.9497,80.7891,"No 182, Bogahawatte, Patana"
79,3,199,1,4600,Nuwara Eliya,6.9497,80.7891,"No 72/A, Kandy Road, Nuwaraeliya"
80,2,144,2,8000,Nuwara Eliya,6.9497,80.7891,"No 18, Holbrook, Agarapathana"
81,1,155,3,7800,Nuwara Eliya,6.9497,80.7891,"Kandy Rd, Walapane"
82,2,166,2,5600,Nuwara Eliya,6.9497,80.7891,"39,Stafford Rd,Ragala,Halgranoya"
83,3,122,3,4500,Nuwara Eliya,6.9497,80.7891,"Walapane Rd, Nildandahinna"
84,2,145,3,6500,Nuwara Eliya,6.9497,80.7891,"Ragala Rd, Padiyapelella"
85,3,147,2,4900,Nuwara Eliya,6.9497,80.7891,"No. 31, Walapane Road,
Nildandahinna"
86,1,159,3,5000,Nuwara Eliya,6.9497,80.7891,"52/2,Thushara Building,Ragala"
87,1,147,3,33000,Nuwara Eliya,6.9497,80.7891,"Senani, Keerthibandarapura, Pannala, Nuwara Eliya"
88,2,158,2,22000,Nuwara Eliya,6.9497,80.7891,Walapane
89,2,123,2,7000,Nuwara Eliya,6.9497,80.7891,"55, St. Magret Bazar, Udupussellawa"
90,3,158,2,5000,Hambantota,6.123372,81.12051,"Debokkawa, Kariyamadiththa"
91,2,147,2,4000,Hambantota,6.123372,81.12051,"17/2, Mulanagoda Rd,
Angunukolapelessa"
92,1,159,2,6000,Hambantota,6.123372,81.12051,Agunakolapelassa
93,1,158,3,4500,Hambantota,6.123372,81.12051,"17/2, Mulanagoda Rd,
Angunukolapelessa"
94,2,126,2,10000,Hambantota,6.123372,81.12051,"Hungama Rd, Talawa, Kariyamadinna"
